Date,Open,High,Low,Close,Predicted High,Predicted Low
20140715,1.07111,1.07693,1.07102,1.07584,1.07937,1.0723
20140716,1.07584,1.07937,1.0723,1.07404,1.07631,1.07275
20140717,1.07404,1.07631,1.07275,1.07612,1.07661,1.07081
20140718,1.07612,1.07661,1.07081,1.07308,1.07518,1.07259
20140721,1.0731,1.07518,1.07259,1.07375,1.07592,1.07306
20140722,1.07375,1.07592,1.07306,1.07376,1.07454,1.07099
20140723,1.07371,1.07454,1.07099,1.07273,1.07515,1.07176
20140724,1.07272,1.07515,1.07176,1.07439,1.08208,1.07382
20140725,1.07437,1.08208,1.07382,1.0811,1.08181,1.07972
20140728,1.08162,1.08181,1.07972,1.07978,1.08654,1.07959
20140729,1.07973,1.08654,1.07959,1.0851,1.09167,1.08485
20140730,1.0851,1.09167,1.08485,1.09021,1.09291,1.08764
20140731,1.09021,1.09291,1.08764,1.0905,1.09435,1.08845
20140801,1.0905,1.09435,1.08845,1.0915,1.09337,1.09044
20140804,1.09164,1.09337,1.09044,1.09048,1.09763,1.0904
20140805,1.09048,1.09763,1.0904,1.09605,1.09857,1.09121
20140806,1.09605,1.09857,1.09121,1.0915,1.09381,1.09033
20140807,1.09151,1.09381,1.09033,1.0926,1.09836,1.09095
20140808,1.09252,1.09836,1.09095,1.09718,1.0977,1.09183
20140811,1.09687,1.0977,1.09183,1.09204,1.09525,1.09134
20140812,1.09198,1.09525,1.09134,1.09233,1.09402,1.09062
20140813,1.09235,1.09402,1.09062,1.09131,1.09207,1.08867
20140814,1.09131,1.09207,1.08867,1.0901,1.09184,1.08602
20140815,1.09014,1.09184,1.08602,1.08952,1.0899,1.0875
20140818,1.08849,1.0899,1.0875,1.08856,1.0949,1.08855
20140819,1.0886,1.0949,1.08855,1.09412,1.09735,1.09318
20140820,1.0941,1.09735,1.09318,1.09693,1.09862,1.09393
20140821,1.09693,1.09862,1.09393,1.09393,1.09788,1.09283
20140822,1.09393,1.09788,1.09283,1.09414,1.09859,1.09428
20140825,1.09637,1.09859,1.09428,1.0983,1.09973,1.0941
20140826,1.09826,1.09973,1.0941,1.09513,1.09556,1.08282
20140827,1.09506,1.09556,1.08282,1.08638,1.08685,1.08364
20140828,1.08637,1.08685,1.08364,1.08596,1.08788,1.08105
